"","originalid","originaltraitname","originaltraitdef","standardisedtraitname","standardisedtraitdef","originaltraitvalue","originaltraitunit","originalerrorpos","originalerrorneg","originalerrorunit","standardisedtraitvalue","standardisedtraitunit","standardisederrorpos","standardisederrorneg","standardisederrorunit","replicates","habitat","labfield","arenavalue","arenaunit","arenavaluesi","arenaunitsi","ambienttemp","ambienttempmethod","ambienttempunit","ambientlight","ambientlightunit","secondstressor","secondstressordef","secondstressorvalue","secondstressorunit","timestart","timeend","totalobstimevalue","totalobstimeunit","totalobstimevaluesi","totalobstimeunitsi","totalobstimenotes","resrepvalue","resrepunit","resrepvaluesi","resrepunitsi","location","locationtype","originallocationdate","locationdate","locationdateprecision","coordinatetype","latitude","longitude","interactor1","interactor1common","interactor1wholepart","interactor1wholeparttype","interactor1number","interactor1kingdom","interactor1phylum","interactor1class","interactor1order","interactor1family","interactor1genus","interactor1species","interactor1stage","interactor1temp","interactor1tempunit","interactor1tempmethod","interactor1growthtemp","interactor1growthtempunit","interactor1growthdur","interactor1growthdurunit","interactor1growthtype","interactor1acc","interactor1acctemp","interactor1acctempnotes","interactor1acctime","interactor1acctimenotes","interactor1acctimeunit","interactor1origtemp","interactor1origtempnotes","interactor1origtime","interactor1origtimenotes","interactor1origtimeunit","interactor1equilibtimevalue","interactor1equilibtimeunit","interactor1size","interactor1sizeunit","interactor1sizetype","interactor1sizesi","interactor1sizeunitsi","interactor1denvalue","interactor1denunit","interactor1dentypesi","interactor1denvaluesi","interactor1denunitsi","interactor1massvaluesi","interactor1massunitsi","interactor2","interactor2common","interactor2kingdom","interactor2phylum","interactor2class","interactor2order","interactor2family","interactor2genus","interactor2species","interactor2stage","interactor2temp","interactor2tempunit","interactor2tempmethod","interactor2growthtemp","interactor2growthtempunit","interactor2growthdur","interactor2growthdurunit","interactor2growthtype","interactor2acc","interactor2acctemp","interactor2acctempnotes","interactor2acctime","interactor2acctimenotes","interactor2acctimeunit","interactor2origtemp","interactor2origtempnotes","interactor2origtime","interactor2origtimenotes","interactor2origtimeunit","interactor2equilibtimevalue","interactor2equilibtimeunit","interactor2size","interactor2sizeunit","interactor2sizetype","interactor2sizesi","interactor2sizeunitsi","interactor2denvalue","interactor2denunit","interactor2dentypesi","interactor2denvaluesi","interactor2denunitsi","interactor2massvaluesi","interactor2massunitsi","physicalprocess","physicalprocess_1","physicalprocess_2","figuretable","citation","doi","submittedby","contributoremail","notes"
"17582","MTD2063","Development Time","Time taken by an individual to complete a particular period or life stage","Development Time","Time taken by an individual to complete a particular period or life stage",61.58,"day / 1 individual",1.45,1.45,"",5320512,"second / individual",125280,125280,"SE",93,"terrestrial","lab",NA,"",NA,"",15,"direct","celsius","","","","",NA,"",NA,NA,NA,"not stated",NA,"",NA,NA,"as required",NA,"to satiation","Mahallat, Iran","","","",0,"",33.915,50.452,"Planococcus citri","citrus mealybug","","","","Metazoa","Arthropoda","Insecta","Hemiptera","Pseudococcidae","Planococcus","citri","nymph (female)",15,"celsius","inferred (ambient)",NA,"",NA,"","","captive bred (at acclimation temperature)",24,"",43200,"0-24 hr (entire life)","second",NA,NA,NA,NA,"",NA,"",NA,"","",2.30588469641005e-08,"kilogram",NA,"not stated","",NA,"",2.30588469641005e-08,"kilogram (wet body mass)","Solenostemon scutellarioides","coleus","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Solenostemon","scutellarioides","",15,"celsius","inferred (ambient)",NA,NA,NA,NA,NA,"captive bred",26,"26-24C (light/dark cycle)",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","not stated",0.15,"kilogram",NA,"","",NA,"",0.15,"kilogram (wet tissue mass)","growth rate","growth rate","life history","Table 1","Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","http://dx.doi.org/10.2298/abs0902329g","Biotraits","null@null.invalid",""
"17583","MTD2063","Development Time","Time taken by an individual to complete a particular period or life stage","Development Time","Time taken by an individual to complete a particular period or life stage",35.34,"day / 1 individual",1.07,1.07,"",3053376,"second / individual",92448,92448,"SE",93,"terrestrial","lab",NA,"",NA,"",18,"direct","celsius","","","","",NA,"",NA,NA,NA,"not stated",NA,"",NA,NA,"as required",NA,"to satiation","Mahallat, Iran","","","",0,"",33.915,50.452,"Planococcus citri","citrus mealybug","","","","Metazoa","Arthropoda","Insecta","Hemiptera","Pseudococcidae","Planococcus","citri","nymph (female)",18,"celsius","inferred (ambient)",NA,"",NA,"","","captive bred (at acclimation temperature)",24,"",43200,"0-24 hr (entire life)","second",NA,NA,NA,NA,"",NA,"",NA,"","",2.30588469641005e-08,"kilogram",NA,"not stated","",NA,"",2.30588469641005e-08,"kilogram (wet body mass)","Solenostemon scutellarioides","coleus","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Solenostemon","scutellarioides","",18,"celsius","inferred (ambient)",NA,NA,NA,NA,NA,"captive bred",26,"26-24C (light/dark cycle)",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","not stated",0.15,"kilogram",NA,"","",NA,"",0.15,"kilogram (wet tissue mass)","growth rate","growth rate","life history","Table 1","Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","http://dx.doi.org/10.2298/abs0902329g","Biotraits","null@null.invalid",""
"17584","MTD2063","Development Time","Time taken by an individual to complete a particular period or life stage","Development Time","Time taken by an individual to complete a particular period or life stage",36.52,"day / 1 individual",0.27,0.27,"",3155328,"second / individual",23328,23328,"SE",93,"terrestrial","lab",NA,"",NA,"",20,"direct","celsius","","","","",NA,"",NA,NA,NA,"not stated",NA,"",NA,NA,"as required",NA,"to satiation","Mahallat, Iran","","","",0,"",33.915,50.452,"Planococcus citri","citrus mealybug","","","","Metazoa","Arthropoda","Insecta","Hemiptera","Pseudococcidae","Planococcus","citri","nymph (female)",20,"celsius","inferred (ambient)",NA,"",NA,"","","captive bred (at acclimation temperature)",24,"",43200,"0-24 hr (entire life)","second",NA,NA,NA,NA,"",NA,"",NA,"","",2.30588469641005e-08,"kilogram",NA,"not stated","",NA,"",2.30588469641005e-08,"kilogram (wet body mass)","Solenostemon scutellarioides","coleus","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Solenostemon","scutellarioides","",20,"celsius","inferred (ambient)",NA,NA,NA,NA,NA,"captive bred",26,"26-24C (light/dark cycle)",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","not stated",0.15,"kilogram",NA,"","",NA,"",0.15,"kilogram (wet tissue mass)","growth rate","growth rate","life history","Table 1","Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","http://dx.doi.org/10.2298/abs0902329g","Biotraits","null@null.invalid",""
"17585","MTD2063","Development Time","Time taken by an individual to complete a particular period or life stage","Development Time","Time taken by an individual to complete a particular period or life stage",24.02,"day / 1 individual",0.55,0.55,"",2075328,"second / individual",47520,47520,"SE",93,"terrestrial","lab",NA,"",NA,"",23,"direct","celsius","","","","",NA,"",NA,NA,NA,"not stated",NA,"",NA,NA,"as required",NA,"to satiation","Mahallat, Iran","","","",0,"",33.915,50.452,"Planococcus citri","citrus mealybug","","","","Metazoa","Arthropoda","Insecta","Hemiptera","Pseudococcidae","Planococcus","citri","nymph (female)",23,"celsius","inferred (ambient)",NA,"",NA,"","","captive bred (at acclimation temperature)",24,"",43200,"0-24 hr (entire life)","second",NA,NA,NA,NA,"",NA,"",NA,"","",2.30588469641005e-08,"kilogram",NA,"not stated","",NA,"",2.30588469641005e-08,"kilogram (wet body mass)","Solenostemon scutellarioides","coleus","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Solenostemon","scutellarioides","",23,"celsius","inferred (ambient)",NA,NA,NA,NA,NA,"captive bred",26,"26-24C (light/dark cycle)",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","not stated",0.15,"kilogram",NA,"","",NA,"",0.15,"kilogram (wet tissue mass)","growth rate","growth rate","life history","Table 1","Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","http://dx.doi.org/10.2298/abs0902329g","Biotraits","null@null.invalid",""
"17586","MTD2063","Development Time","Time taken by an individual to complete a particular period or life stage","Development Time","Time taken by an individual to complete a particular period or life stage",15.65,"day / 1 individual",0.21,0.21,"",1352160,"second / individual",18144,18144,"SE",93,"terrestrial","lab",NA,"",NA,"",25,"direct","celsius","","","","",NA,"",NA,NA,NA,"not stated",NA,"",NA,NA,"as required",NA,"to satiation","Mahallat, Iran","","","",0,"",33.915,50.452,"Planococcus citri","citrus mealybug","","","","Metazoa","Arthropoda","Insecta","Hemiptera","Pseudococcidae","Planococcus","citri","nymph (female)",25,"celsius","inferred (ambient)",NA,"",NA,"","","captive bred (at acclimation temperature)",24,"",43200,"0-24 hr (entire life)","second",NA,NA,NA,NA,"",NA,"",NA,"","",2.30588469641005e-08,"kilogram",NA,"not stated","",NA,"",2.30588469641005e-08,"kilogram (wet body mass)","Solenostemon scutellarioides","coleus","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Solenostemon","scutellarioides","",25,"celsius","inferred (ambient)",NA,NA,NA,NA,NA,"captive bred",26,"26-24C (light/dark cycle)",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","not stated",0.15,"kilogram",NA,"","",NA,"",0.15,"kilogram (wet tissue mass)","growth rate","growth rate","life history","Table 1","Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","http://dx.doi.org/10.2298/abs0902329g","Biotraits","null@null.invalid",""
"17587","MTD2063","Development Time","Time taken by an individual to complete a particular period or life stage","Development Time","Time taken by an individual to complete a particular period or life stage",17.89,"day / 1 individual",0.49,0.49,"",1545696,"second / individual",42336,42336,"SE",93,"terrestrial","lab",NA,"",NA,"",28,"direct","celsius","","","","",NA,"",NA,NA,NA,"not stated",NA,"",NA,NA,"as required",NA,"to satiation","Mahallat, Iran","","","",0,"",33.915,50.452,"Planococcus citri","citrus mealybug","","","","Metazoa","Arthropoda","Insecta","Hemiptera","Pseudococcidae","Planococcus","citri","nymph (female)",28,"celsius","inferred (ambient)",NA,"",NA,"","","captive bred (at acclimation temperature)",24,"",43200,"0-24 hr (entire life)","second",NA,NA,NA,NA,"",NA,"",NA,"","",2.30588469641005e-08,"kilogram",NA,"not stated","",NA,"",2.30588469641005e-08,"kilogram (wet body mass)","Solenostemon scutellarioides","coleus","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Solenostemon","scutellarioides","",28,"celsius","inferred (ambient)",NA,NA,NA,NA,NA,"captive bred",26,"26-24C (light/dark cycle)",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","not stated",0.15,"kilogram",NA,"","",NA,"",0.15,"kilogram (wet tissue mass)","growth rate","growth rate","life history","Table 1","Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","http://dx.doi.org/10.2298/abs0902329g","Biotraits","null@null.invalid",""
"17588","MTD2063","Development Time","Time taken by an individual to complete a particular period or life stage","Development Time","Time taken by an individual to complete a particular period or life stage",20.06,"day / 1 individual",0.5,0.5,"",1733184,"second / individual",43200,43200,"SE",93,"terrestrial","lab",NA,"",NA,"",30,"direct","celsius","","","","",NA,"",NA,NA,NA,"not stated",NA,"",NA,NA,"as required",NA,"to satiation","Mahallat, Iran","","","",0,"",33.915,50.452,"Planococcus citri","citrus mealybug","","","","Metazoa","Arthropoda","Insecta","Hemiptera","Pseudococcidae","Planococcus","citri","nymph (female)",30,"celsius","inferred (ambient)",NA,"",NA,"","","captive bred (at acclimation temperature)",24,"",43200,"0-24 hr (entire life)","second",NA,NA,NA,NA,"",NA,"",NA,"","",2.30588469641005e-08,"kilogram",NA,"not stated","",NA,"",2.30588469641005e-08,"kilogram (wet body mass)","Solenostemon scutellarioides","coleus","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Solenostemon","scutellarioides","",30,"celsius","inferred (ambient)",NA,NA,NA,NA,NA,"captive bred",26,"26-24C (light/dark cycle)",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","not stated",0.15,"kilogram",NA,"","",NA,"",0.15,"kilogram (wet tissue mass)","growth rate","growth rate","life history","Table 1","Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","http://dx.doi.org/10.2298/abs0902329g","Biotraits","null@null.invalid",""
"17589","MTD2063","Development Time","Time taken by an individual to complete a particular period or life stage","Development Time","Time taken by an individual to complete a particular period or life stage",24.6,"day / 1 individual",0.66,0.66,"",2125440,"second / individual",57024,57024,"SE",93,"terrestrial","lab",NA,"",NA,"",32,"direct","celsius","","","","",NA,"",NA,NA,NA,"not stated",NA,"",NA,NA,"as required",NA,"to satiation","Mahallat, Iran","","","",0,"",33.915,50.452,"Planococcus citri","citrus mealybug","","","","Metazoa","Arthropoda","Insecta","Hemiptera","Pseudococcidae","Planococcus","citri","nymph (female)",32,"celsius","inferred (ambient)",NA,"",NA,"","","captive bred (at acclimation temperature)",24,"",43200,"0-24 hr (entire life)","second",NA,NA,NA,NA,"",NA,"",NA,"","",2.30588469641005e-08,"kilogram",NA,"not stated","",NA,"",2.30588469641005e-08,"kilogram (wet body mass)","Solenostemon scutellarioides","coleus","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Solenostemon","scutellarioides","",32,"celsius","inferred (ambient)",NA,NA,NA,NA,NA,"captive bred",26,"26-24C (light/dark cycle)",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","not stated",0.15,"kilogram",NA,"","",NA,"",0.15,"kilogram (wet tissue mass)","growth rate","growth rate","life history","Table 1","Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","http://dx.doi.org/10.2298/abs0902329g","Biotraits","null@null.invalid",""
"17590","MTD2064","Development Time","Time taken by an individual to complete a particular period or life stage","Development Time","Time taken by an individual to complete a particular period or life stage",13.14,"day / 1 individual",0.26,0.26,"",1135296,"second / individual",22464,22464,"SE",93,"terrestrial","lab",NA,"",NA,"",15,"direct","celsius","","","","",NA,"",NA,NA,NA,"not stated",NA,"",NA,NA,"as required",NA,"to satiation","Mahallat, Iran","","","",0,"",33.915,50.452,"Planococcus citri","citrus mealybug","","","","Metazoa","Arthropoda","Insecta","Hemiptera","Pseudococcidae","Planococcus","citri","egg (female)",15,"celsius","inferred (ambient)",NA,"",NA,"","","captive bred (at acclimation temperature)",24,"",43200,"0-24 hr (entire life)","second",NA,NA,NA,NA,"",NA,"",NA,"","",1.37941993268527e-09,"kilogram",NA,"not stated","",NA,"",1.37941993268527e-09,"kilogram (wet body mass)","Solenostemon scutellarioides","coleus","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Solenostemon","scutellarioides","",15,"celsius","inferred (ambient)",NA,NA,NA,NA,NA,"captive bred",26,"26-24C (light/dark cycle)",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","not stated",0.15,"kilogram",NA,"","",NA,"",0.15,"kilogram (wet tissue mass)","growth rate","growth rate","life history","Table 1","Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","http://dx.doi.org/10.2298/abs0902329g","Biotraits","null@null.invalid",""
"17591","MTD2064","Development Time","Time taken by an individual to complete a particular period or life stage","Development Time","Time taken by an individual to complete a particular period or life stage",9.68,"day / 1 individual",0.26,0.26,"",836352,"second / individual",22464,22464,"SE",93,"terrestrial","lab",NA,"",NA,"",18,"direct","celsius","","","","",NA,"",NA,NA,NA,"not stated",NA,"",NA,NA,"as required",NA,"to satiation","Mahallat, Iran","","","",0,"",33.915,50.452,"Planococcus citri","citrus mealybug","","","","Metazoa","Arthropoda","Insecta","Hemiptera","Pseudococcidae","Planococcus","citri","egg (female)",18,"celsius","inferred (ambient)",NA,"",NA,"","","captive bred (at acclimation temperature)",24,"",43200,"0-24 hr (entire life)","second",NA,NA,NA,NA,"",NA,"",NA,"","",1.37941993268527e-09,"kilogram",NA,"not stated","",NA,"",1.37941993268527e-09,"kilogram (wet body mass)","Solenostemon scutellarioides","coleus","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Solenostemon","scutellarioides","",18,"celsius","inferred (ambient)",NA,NA,NA,NA,NA,"captive bred",26,"26-24C (light/dark cycle)",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","not stated",0.15,"kilogram",NA,"","",NA,"",0.15,"kilogram (wet tissue mass)","growth rate","growth rate","life history","Table 1","Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","http://dx.doi.org/10.2298/abs0902329g","Biotraits","null@null.invalid",""
