originalid,originaltraitname,originaltraitdef,standardisedtraitname,standardisedtraitdef,originaltraitvalue,originaltraitunit,originalerrorpos,originalerrorneg,originalerrorunit,standardisedtraitvalue,standardisedtraitunit,standardisederrorpos,standardisederrorneg,standardisederrorunit,replicates,habitat,labfield,arenavalue,arenaunit,arenavaluesi,arenaunitsi,ambienttemp,ambienttempmethod,ambienttempunit,ambientlight,ambientlightunit,secondstressor,secondstressordef,secondstressorvalue,secondstressorunit,timestart,timeend,totalobstimevalue,totalobstimeunit,totalobstimevaluesi,totalobstimeunitsi,totalobstimenotes,resrepvalue,resrepunit,resrepvaluesi,resrepunitsi,location,locationtype,originallocationdate,locationdate,locationdateprecision,coordinatetype,latitude,longitude,interactor1,interactor1common,interactor1wholepart,interactor1wholeparttype,interactor1number,interactor1kingdom,interactor1phylum,interactor1class,interactor1order,interactor1family,interactor1genus,interactor1species,interactor1stage,interactor1temp,interactor1tempunit,interactor1tempmethod,interactor1growthtemp,interactor1growthtempunit,interactor1growthdur,interactor1growthdurunit,interactor1growthtype,interactor1acc,interactor1acctemp,interactor1acctempnotes,interactor1acctime,interactor1acctimenotes,interactor1acctimeunit,interactor1origtemp,interactor1origtempnotes,interactor1origtime,interactor1origtimenotes,interactor1origtimeunit,interactor1equilibtimevalue,interactor1equilibtimeunit,interactor1size,interactor1sizeunit,interactor1sizetype,interactor1sizesi,interactor1sizeunitsi,interactor1denvalue,interactor1denunit,interactor1dentypesi,interactor1denvaluesi,interactor1denunitsi,interactor1massvaluesi,interactor1massunitsi,interactor2,interactor2common,interactor2kingdom,interactor2phylum,interactor2class,interactor2order,interactor2family,interactor2genus,interactor2species,interactor2stage,interactor2temp,interactor2tempunit,interactor2tempmethod,interactor2growthtemp,interactor2growthtempunit,interactor2growthdur,interactor2growthdurunit,interactor2growthtype,interactor2acc,interactor2acctemp,interactor2acctempnotes,interactor2acctime,interactor2acctimenotes,interactor2acctimeunit,interactor2origtemp,interactor2origtempnotes,interactor2origtime,interactor2origtimenotes,interactor2origtimeunit,interactor2equilibtimevalue,interactor2equilibtimeunit,interactor2size,interactor2sizeunit,interactor2sizetype,interactor2sizesi,interactor2sizeunitsi,interactor2denvalue,interactor2denunit,interactor2dentypesi,interactor2denvaluesi,interactor2denunitsi,interactor2massvaluesi,interactor2massunitsi,physicalprocess,physicalprocess_1,physicalprocess_2,citation,doi,published,embargorelease,figuretable,notes,submittedby,contributoremail
csm1A,Oviposition Rate,,,,0,per day per female,,,,,,,,,,,,,,,,10.54,,celcius,,,,,,,,,,,,,,,,,,"Mar“lia, Sa_ Paulo State, Brazil",,,16/8/2002,5,,,,Aedes aegypti,,,,,,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.1017/S0950268809002040,TRUE,4/2/2009,,,Cera Mai,csm417@ic.ac.uk
csm1A,Oviposition Rate,,,,0,per day per female,,,,,,,,,,,,,,,,10.76,,celcius,,,,,,,,,,,,,,,,,,"Mar“lia, Sa_ Paulo State, Brazil",,,16/8/2002,5,,,,Aedes aegypti,,,,,,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.1017/S0950268809002040,TRUE,4/2/2009,,,Cera Mai,csm417@ic.ac.uk
csm1A,Oviposition Rate,,,,0.3548,per day per female,,,,,,,,,,,,,,,,15.3,,celcius,,,,,,,,,,,,,,,,,,"Mar“lia, Sa_ Paulo State, Brazil",,,16/8/2002,5,,,,Aedes aegypti,,,,,,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.1017/S0950268809002040,TRUE,4/2/2009,,,Cera Mai,csm417@ic.ac.uk
csm1A,Oviposition Rate,,,,1.1208,per day per female,,,,,,,,,,,,,,,,16.52,,celcius,,,,,,,,,,,,,,,,,,"Mar“lia, Sa_ Paulo State, Brazil",,,16/8/2002,5,,,,Aedes aegypti,,,,,,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.1017/S0950268809002040,TRUE,4/2/2009,,,Cera Mai,csm417@ic.ac.uk
csm1A,Oviposition Rate,,,,3.3668,per day per female,,,,,,,,,,,,,,,,20.05,,celcius,,,,,,,,,,,,,,,,,,"Mar“lia, Sa_ Paulo State, Brazil",,,16/8/2002,5,,,,Aedes aegypti,,,,,,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.1017/S0950268809002040,TRUE,4/2/2009,,,Cera Mai,csm417@ic.ac.uk
csm1A,Oviposition Rate,,,,3.5931,per day per female,,,,,,,,,,,,,,,,21.79,,celcius,,,,,,,,,,,,,,,,,,"Mar“lia, Sa_ Paulo State, Brazil",,,16/8/2002,5,,,,Aedes aegypti,,,,,,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.1017/S0950268809002040,TRUE,4/2/2009,,,Cera Mai,csm417@ic.ac.uk
csm1A,Oviposition Rate,,,,6.9847,per day per female,,,,,,,,,,,,,,,,25.64,,celcius,,,,,,,,,,,,,,,,,,"Mar“lia, Sa_ Paulo State, Brazil",,,16/8/2002,5,,,,Aedes aegypti,,,,,,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.1017/S0950268809002040,TRUE,4/2/2009,,,Cera Mai,csm417@ic.ac.uk
csm1A,Oviposition Rate,,,,7.5997,per day per female,,,,,,,,,,,,,,,,27.64,,celcius,,,,,,,,,,,,,,,,,,"Mar“lia, Sa_ Paulo State, Brazil",,,16/8/2002,5,,,,Aedes aegypti,,,,,,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.1017/S0950268809002040,TRUE,4/2/2009,,,Cera Mai,csm417@ic.ac.uk
csm1A,Oviposition Rate,,,,9.5762,per day per female,,,,,,,,,,,,,,,,31.33,,celcius,,,,,,,,,,,,,,,,,,"Mar“lia, Sa_ Paulo State, Brazil",,,16/8/2002,5,,,,Aedes aegypti,,,,,,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.1017/S0950268809002040,TRUE,4/2/2009,,,Cera Mai,csm417@ic.ac.uk
csm1A,Oviposition Rate,,,,7.277,per day per female,,,,,,,,,,,,,,,,31.65,,celcius,,,,,,,,,,,,,,,,,,"Mar“lia, Sa_ Paulo State, Brazil",,,16/8/2002,5,,,,Aedes aegypti,,,,,,Arthropoda,Insecta,Diptera,Culicidae,Aedes,aegypti,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",10.1017/S0950268809002040,TRUE,4/2/2009,,,Cera Mai,csm417@ic.ac.uk
