"","Order","Species","Parameter","Unit","Unitdef","Stage","Temperature_Difference"
"1","Diptera","Aedes aegypti","Mortality Rate","1/days","","Adult",TRUE
"2","Diptera","Aedes aegypti","Mortality Rate","1/day","","Adult",TRUE
"3","Diptera","Aedes aegypti","Oviposition Rate","per day per female","","Adult",TRUE
"4","Diptera","Aedes aegypti","Survival Time","days","","Adult",TRUE
"5","Diptera","Aedes albopictus","Development Rate","1/days","","",TRUE
"6","Diptera","Aedes albopictus","Oviposition Rate","eggs per female per cycle","","",TRUE
"7","Diptera","Aedes albopictus","Percentage Survival","%","","Egg to L1",TRUE
"8","Diptera","Aedes albopictus","Percentage Survival","%","","L1 to L2",TRUE
"9","Diptera","Aedes albopictus","Percentage Survival","%","","L2 to L3",TRUE
"10","Diptera","Aedes albopictus","Percentage Survival","%","","L3 to L4",TRUE
"11","Diptera","Aedes albopictus","Percentage Survival","%","","L4 to Pupae",TRUE
"12","Diptera","Aedes albopictus","Percentage Survival","%","","Pupae to Adult",TRUE
"13","Diptera","Aedes albopictus","Percentage Survival","%","","L1 to Adult",TRUE
"14","Diptera","Aedes camptorhynchus","Development time","days","Time to develop from 1st instar larvae to adult","larvae + pupae",TRUE
"15","Diptera","Aedes camptorhynchus","Fecundity","eggs","Eggs from individual female (dissected 7 days after blood meal)","adult",FALSE
"16","Diptera","Aedes camptorhynchus","Juvenile survival ","proportion","Proportion of larvae that survive to adulthood","larvae + pupae",TRUE
"17","Diptera","Aedes notoscriptus","Development time","days","Time to develop from 1st instar larvae to pupae","larvae",TRUE
"18","Diptera","Aedes notoscriptus","Juvenile survival ","days","Proportion of larvae that survive to pupation","larvae",TRUE
"19","","Anthonomus grandis","Development Rate","%","","",TRUE
"20","","Anthonomus grandis","Development Time","days","","",TRUE
"21","","Anthonomus grandis","Fecundity","Eggs/female/day","","",TRUE
"22","","Anthonomus grandis","Longevity","days","","",TRUE
"23","","Anthonomus grandis","Mortality Rate","%","","",TRUE
"24","","Anthonomus grandis","Survivorship","% of live weevils per day","","",TRUE
"25","Hemiptera","Aphis gossypii","Development Rate","1/day","","",TRUE
"26","Hemiptera","Aphis gossypii","Development Time","day / 1 individual","Time taken by an individual to complete a particular period or life stage","",TRUE
"27","Hemiptera","Aphis gossypii","Development Time","Days","","",TRUE
"28","Hemiptera","Aphis gossypii","Fecundity Rate","nymphs/female/day","","",TRUE
"29","Hemiptera","Aphis gossypii","Generation Time","day / 1 individual","Average interval between the birth of an individual and the birth of its offspring","adult",TRUE
"30","Hemiptera","Aphis gossypii","Longevity","day / 1 individual","Length of adult life","adult (female)",TRUE
"31","Hemiptera","Aphis gossypii","Mortality Rate","event / (1 individual * 24 hour)","Number of deaths scaled by population size, per unit time","juvenile",TRUE
"32","Hemiptera","Aphis gossypii","Mortality Rate","%","","Nymph",TRUE
"33","Hemiptera","Aphis gossypii","Survival Rate","individuals/day","","",TRUE
"34","Diptera","Bactrocera correcta","Development Time","hour / 1 individual","Time taken by an individual to complete a particular period or life stage","egg",TRUE
"35","Diptera","Bactrocera correcta","Development Time","day / 1 individual","Time taken by an individual to complete a particular period or life stage","pupae",TRUE
"36","Decapoda","Cherax quadricarinatus","Mortality Rate","event / (1 individual * 24 hour)","Number of deaths scaled by population size, per unit time","juvenile",TRUE
"37","Hemiptera","Corythucha ciliata","Development Rate","100/day","","Egg",TRUE
"38","Hemiptera","Corythucha ciliata","Development Rate","100/day","","1st instar",TRUE
"39","Hemiptera","Corythucha ciliata","Development Rate","100/day","","2nd instar",TRUE
"40","Hemiptera","Corythucha ciliata","Development Rate","100/day","","3rd instar",TRUE
"41","Hemiptera","Corythucha ciliata","Development Rate","100/day","","4th instar",TRUE
"42","Hemiptera","Corythucha ciliata","Development Rate","100/day","","5th instar",TRUE
"43","Hemiptera","Corythucha ciliata","Development Rate","100/day","","Nymph",TRUE
"44","Hemiptera","Corythucha ciliata","Development Rate","100/day","","Egg-to-adult",TRUE
"45","Hemiptera","Corythucha ciliata","Development Time","days","","Egg",TRUE
"46","Hemiptera","Corythucha ciliata","Development Time","days","","1st instar",TRUE
"47","Hemiptera","Corythucha ciliata","Development Time","days","","2nd instar",TRUE
"48","Hemiptera","Corythucha ciliata","Development Time","days","","3rd instar",TRUE
"49","Hemiptera","Corythucha ciliata","Development Time","days","","4th instar",TRUE
"50","Hemiptera","Corythucha ciliata","Development Time","days","","5th instar",TRUE
"51","Hemiptera","Corythucha ciliata","Development Time","days","","Egg-to-adult",TRUE
"52","Hemiptera","Corythucha ciliata","Development Time","days","","Nymph",TRUE
"53","Hemiptera","Corythucha ciliata","Fecundity","eggs per female","","",TRUE
"54","Hemiptera","Corythucha ciliata","Longevity","days","","",TRUE
"55","Hemiptera","Corythucha ciliata","Percentage Survival","%","","Egg",TRUE
"56","Hemiptera","Corythucha ciliata","Percentage Survival","%","","1st instar",TRUE
"57","Hemiptera","Corythucha ciliata","Percentage Survival","%","","2nd instar",TRUE
"58","Hemiptera","Corythucha ciliata","Percentage Survival","%","","3rd instar",TRUE
"59","Hemiptera","Corythucha ciliata","Percentage Survival","%","","4th instar",TRUE
"60","Hemiptera","Corythucha ciliata","Percentage Survival","%","","5th instar",TRUE
"61","Hemiptera","Corythucha ciliata","Percentage Survival","%","","Egg-to-adult",TRUE
