"","X","originalid","originaltraitname","originaltraitdef","standardisedtraitname","standardisedtraitdef","originaltraitvalue","originaltraitunit","originalerrorpos","originalerrorneg","originalerrorunit","standardisedtraitvalue","standardisedtraitunit","standardisederrorpos","standardisederrorneg","standardisederrorunit","replicates","habitat","labfield","arenavalue","arenaunit","arenavaluesi","arenaunitsi","ambienttemp","ambienttempmethod","ambienttempunit","ambientlight","ambientlightunit","secondstressor","secondstressordef","secondstressorvalue","secondstressorunit","timestart","timeend","totalobstimevalue","totalobstimeunit","totalobstimevaluesi","totalobstimeunitsi","totalobstimenotes","resrepvalue","resrepunit","resrepvaluesi","resrepunitsi","location","locationtype","originallocationdate","locationdate","locationdateprecision","coordinatetype","latitude","longitude","interactor1","interactor1common","interactor1wholepart","interactor1wholeparttype","interactor1number","interactor1kingdom","interactor1phylum","interactor1class","interactor1order","interactor1family","interactor1genus","interactor1species","interactor1stage","interactor1temp","interactor1tempunit","interactor1tempmethod","interactor1growthtemp","interactor1growthtempunit","interactor1growthdur","interactor1growthdurunit","interactor1growthtype","interactor1acc","interactor1acctemp","interactor1acctempnotes","interactor1acctime","interactor1acctimenotes","interactor1acctimeunit","interactor1origtemp","interactor1origtempnotes","interactor1origtime","interactor1origtimenotes","interactor1origtimeunit","interactor1equilibtimevalue","interactor1equilibtimeunit","interactor1size","interactor1sizeunit","interactor1sizetype","interactor1sizesi","interactor1sizeunitsi","interactor1denvalue","interactor1denunit","interactor1dentypesi","interactor1denvaluesi","interactor1denunitsi","interactor1massvaluesi","interactor1massunitsi","interactor2","interactor2common","interactor2kingdom","interactor2phylum","interactor2class","interactor2order","interactor2family","interactor2genus","interactor2species","interactor2stage","interactor2temp","interactor2tempunit","interactor2tempmethod","interactor2growthtemp","interactor2growthtempunit","interactor2growthdur","interactor2growthdurunit","interactor2growthtype","interactor2acc","interactor2acctemp","interactor2acctempnotes","interactor2acctime","interactor2acctimenotes","interactor2acctimeunit","interactor2origtemp","interactor2origtempnotes","interactor2origtime","interactor2origtimenotes","interactor2origtimeunit","interactor2equilibtimevalue","interactor2equilibtimeunit","interactor2size","interactor2sizeunit","interactor2sizetype","interactor2sizesi","interactor2sizeunitsi","interactor2denvalue","interactor2denunit","interactor2dentypesi","interactor2denvaluesi","interactor2denunitsi","interactor2massvaluesi","interactor2massunitsi","physicalprocess","physicalprocess_1","physicalprocess_2","figuretable","citation","doi","submittedby","contributoremail","notes","Variable"
"1510",761,"csm5I","Oviposition Rate","",NA,NA,42.6,"eggs per female per cycle",8.1,8.1,"eggs per female per cycle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,"celcius",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Saint Pierre, La R�union Island, France ",NA,NA,NA,0,NA,NA,NA,"Aedes albopictus",NA,NA,NA,NA,NA,"Arthropoda","Insecta","Diptera","Culcidae","Aedes","albopictus","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Delatte, H�l�ne, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.","10.1603/033.046.0105","Cera Mai","csm417@ic.ac.uk","","Peak Fecundity Rate (bpk)"
"1511",762,"csm5I","Oviposition Rate","",NA,NA,51.8,"eggs per female per cycle",12.1,12.1,"eggs per female per cycle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,"celcius",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Saint Pierre, La R�union Island, France ",NA,NA,NA,0,NA,NA,NA,"Aedes albopictus",NA,NA,NA,NA,NA,"Arthropoda","Insecta","Diptera","Culcidae","Aedes","albopictus","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Delatte, H�l�ne, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.","10.1603/033.046.0106","Cera Mai","csm417@ic.ac.uk","","Peak Fecundity Rate (bpk)"
"1512",763,"csm5I","Oviposition Rate","",NA,NA,80,"eggs per female per cycle",3.4,3.4,"eggs per female per cycle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,"celcius",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Saint Pierre, La R�union Island, France ",NA,NA,NA,0,NA,NA,NA,"Aedes albopictus",NA,NA,NA,NA,NA,"Arthropoda","Insecta","Diptera","Culcidae","Aedes","albopictus","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Delatte, H�l�ne, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.","10.1603/033.046.0107","Cera Mai","csm417@ic.ac.uk","","Peak Fecundity Rate (bpk)"
"1513",764,"csm5I","Oviposition Rate","",NA,NA,77,"eggs per female per cycle",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,"celcius",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Saint Pierre, La R�union Island, France ",NA,NA,NA,0,NA,NA,NA,"Aedes albopictus",NA,NA,NA,NA,NA,"Arthropoda","Insecta","Diptera","Culcidae","Aedes","albopictus","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Delatte, H�l�ne, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.","10.1603/033.046.0108","Cera Mai","csm417@ic.ac.uk","","Peak Fecundity Rate (bpk)"
"1514",765,"csm5I","Oviposition Rate","",NA,NA,68.6,"eggs per female per cycle",6.2,6.2,"eggs per female per cycle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,"celcius",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Saint Pierre, La R�union Island, France ",NA,NA,NA,0,NA,NA,NA,"Aedes albopictus",NA,NA,NA,NA,NA,"Arthropoda","Insecta","Diptera","Culcidae","Aedes","albopictus","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Delatte, H�l�ne, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.","10.1603/033.046.0109","Cera Mai","csm417@ic.ac.uk","","Peak Fecundity Rate (bpk)"
"1515",766,"csm5I","Oviposition Rate","",NA,NA,70.9,"eggs per female per cycle",5.3,5.3,"eggs per female per cycle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,"celcius",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Saint Pierre, La R�union Island, France ",NA,NA,NA,0,NA,NA,NA,"Aedes albopictus",NA,NA,NA,NA,NA,"Arthropoda","Insecta","Diptera","Culcidae","Aedes","albopictus","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Delatte, H�l�ne, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.","10.1603/033.046.0110","Cera Mai","csm417@ic.ac.uk","","Peak Fecundity Rate (bpk)"
"1516",767,"csm5I","Oviposition Rate","",NA,NA,74.3,"eggs per female per cycle",9.1,9.1,"eggs per female per cycle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,"celcius",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Saint Pierre, La R�union Island, France ",NA,NA,NA,0,NA,NA,NA,"Aedes albopictus",NA,NA,NA,NA,NA,"Arthropoda","Insecta","Diptera","Culcidae","Aedes","albopictus","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Delatte, H�l�ne, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.","10.1603/033.046.0111","Cera Mai","csm417@ic.ac.uk","","Peak Fecundity Rate (bpk)"
"1517",768,"csm5I","Oviposition Rate","",NA,NA,53.7,"eggs per female per cycle",7.1,7.1,"eggs per female per cycle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,"celcius",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Saint Pierre, La R�union Island, France ",NA,NA,NA,0,NA,NA,NA,"Aedes albopictus",NA,NA,NA,NA,NA,"Arthropoda","Insecta","Diptera","Culcidae","Aedes","albopictus","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Delatte, H�l�ne, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.","10.1603/033.046.0112","Cera Mai","csm417@ic.ac.uk","","Peak Fecundity Rate (bpk)"
"1518",769,"csm5I","Oviposition Rate","",NA,NA,39.7,"eggs per female per cycle",12.8,12.8,"eggs per female per cycle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,"celcius",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Saint Pierre, La R�union Island, France ",NA,NA,NA,0,NA,NA,NA,"Aedes albopictus",NA,NA,NA,NA,NA,"Arthropoda","Insecta","Diptera","Culcidae","Aedes","albopictus","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Delatte, H�l�ne, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.","10.1603/033.046.0113","Cera Mai","csm417@ic.ac.uk","","Peak Fecundity Rate (bpk)"
"1519",770,"csm5I","Oviposition Rate","",NA,NA,101.5,"eggs per female per cycle",81.5,81.5,"eggs per female per cycle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,"celcius",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Saint Pierre, La R�union Island, France ",NA,NA,NA,0,NA,NA,NA,"Aedes albopictus",NA,NA,NA,NA,NA,"Arthropoda","Insecta","Diptera","Culcidae","Aedes","albopictus","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Delatte, H�l�ne, et al. ""Influence of temperature on immature development, survival, longevity, fecundity, and gonotrophic cycles of Aedes albopictus, vector of chikungunya and dengue in the Indian Ocean."" Journal of medical entomology 46.1 (2009): 33-41.","10.1603/033.046.0114","Cera Mai","csm417@ic.ac.uk","","Peak Fecundity Rate (bpk)"
