"","ID","order","species","stage","originaltraitname","traitvalue","unit","temp","time","location","longitude","latitude","study","traitname"
"1","MTD2063","Hemiptera","Planococcus citri","nymph (female)","Development Time",61.58,"day / 1 individual",15,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"2","MTD2063","Hemiptera","Planococcus citri","nymph (female)","Development Time",35.34,"day / 1 individual",18,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"3","MTD2063","Hemiptera","Planococcus citri","nymph (female)","Development Time",36.52,"day / 1 individual",20,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"4","MTD2063","Hemiptera","Planococcus citri","nymph (female)","Development Time",24.02,"day / 1 individual",23,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"5","MTD2063","Hemiptera","Planococcus citri","nymph (female)","Development Time",15.65,"day / 1 individual",25,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"6","MTD2063","Hemiptera","Planococcus citri","nymph (female)","Development Time",17.89,"day / 1 individual",28,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"7","MTD2063","Hemiptera","Planococcus citri","nymph (female)","Development Time",20.06,"day / 1 individual",30,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"8","MTD2063","Hemiptera","Planococcus citri","nymph (female)","Development Time",24.6,"day / 1 individual",32,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"9","MTD2064","Hemiptera","Planococcus citri","egg (female)","Development Time",13.14,"day / 1 individual",15,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
"10","MTD2064","Hemiptera","Planococcus citri","egg (female)","Development Time",9.68,"day / 1 individual",18,NA,"Mahallat, Iran",50.452,33.915,"Goldasteh, S., Talebi, A. A., Fathipour, Y., Ostovan, H., Zamani, A. & Shoushtari, R. V. 2009. Effect of temperature on life history and population growth parameters of Planococcus citri (Homoptera, Pseudococcidae) on Coleus (Solenostemon scutellarioides (L.) Codd.]. Arch. Biol. Sci. 61(2):329-336","Development Time"
