"","ID","AIClogistic","BIClogistic","AICgompertz","BICgompertz","AICbaranyi","BICbaranyi","AICbuchanan","BICbuchanan"
"1","Chryseobacterium.balustinum_5_TSB","-147.17982051067","-141.85100246997","-119.684652191056","-113.02362964018","NA","NA","-45.7114451785798","-39.0504226277037"
"2","Enterobacter.sp._5_TSB","-117.709040362876","-112.380222322175","-175.922455649425","-169.261433098549","NA","NA","NA","NA"
"3","Pantoea.agglomerans.1_5_TSB","-38.2297394019471","-32.9009213612462","-122.618035404483","-115.957012853607","-121.158815513179","-114.497792962303","NA","NA"
"4","Pantoea.agglomerans.2_5_TSB","-11.5803018691741","-5.97551234252544","-41.2598222231146","-34.2538353148038","-44.0597843036275","-37.0537973953167","-44.6065333624784","-37.6005464541676"
"5","Bacillus.pumilus_5_TSB","20.6528412209597","25.6852273730457","11.4828398138461","17.7733225039535","11.5689883260435","17.859471016151","NA","NA"
"6","Clavibacter.michiganensis_5_TSB","-130.033193507104","-124.704375466403","-133.686536095357","-127.025513544481","-137.266737929077","-130.605715378201","NA","NA"
"7","Pseudomonas.fluorescens.1_5_TSB","-54.8127709733266","-49.4839529326258","NA","NA","-90.1786096077248","-83.5175870568487","NA","NA"
"8","Pseudomonas.fluorescens.2_5_TSB","-75.0684669545705","-69.7396489138697","-88.7283280502586","-82.0673054993826","NA","NA","NA","NA"
"9","Acinetobacter.clacoaceticus.1_5_TSB","-113.660742608742","-108.331924568042","-112.738607352987","-106.077584802111","-115.349710429713","-108.688687878837","-86.2396765886474","-79.5786540377714"
"10","Acinetobacter.clacoaceticus.2_5_TSB","-122.40388210746","-117.07506406676","-116.47773956666","-109.816717015784","-123.341098477832","-116.680075926956","NA","NA"
"11","Stenotrophomonas.maltophilia.1_5_TSB","-68.998238350824","-63.6694203101232","-117.030182864699","-110.369160313823","-125.617394012171","-118.956371461295","NA","NA"
"12","Stenotrophomonas.maltophilia.2_5_TSB","-94.3000696209947","-88.9712515802939","-113.111235868171","-106.450213317295","-125.80083498403","-119.139812433154","NA","NA"
"13","Klebsiella.pneumonia_5_TSB","-82.7119806784086","-77.3831626377077","-141.66981554367","-135.008792992794","-143.260690294074","-136.599667743198","NA","NA"
"14","Dickeya.zeae_5_TSB","-17.2969492877752","-11.9681312470744","-19.114303032508","-12.453280481632","-18.2629472281303","-11.6019246772543","NA","NA"
"15","Pectobacterium.carotovorum.subsp..Carotovorum.Pcc2_5_TSB","1.20992759153005","6.53874563223087","-57.7955326867213","-51.1345101358453","-53.6288628839875","-46.9678403331115","-59.0363456760924","-52.3753231252163"
"16","Pantoea.agglomerans..RDA.R._5_TSB","-18.8286169681796","-13.4997989274788","-122.17089702114","-115.509874470264","-111.675763106784","-105.014740555908","-77.0693373388559","-70.4083147879799"
"17","Dickeya.zeae..RDA.R._5_TSB","8.55411046376251","13.7374579277798","2.15015282879431","8.62933715881596","-0.141740916624883","6.33744341339676","3.65067124330458","10.1298555733262"
"18","Acinetobacter.clacoaceticus..RDA.R._5_TSB","-108.191718777656","-102.862900736955","-106.951778427231","-100.290755876355","-107.304643949214","-100.643621398338","NA","NA"
"19","Stenotrophomonas.maltophilia..RDA.R._5_TSB","-63.6648425381877","-58.3360244974869","-80.5505399350536","-73.8895173841776","-79.228870668411","-72.567848117535","NA","NA"
"20","Klebsiella.pneumonia..RDA.R._5_TSB","-9.72364644306238","-4.39482840236157","-18.3443531728418","-11.6833306219658","-13.5030444828765","-6.84202193200046","NA","NA"
"21","Bacillus.pumilus..RDA.R._5_TSB","23.8322817636292","25.0426221356054","NA","NA","NA","NA","NA","NA"
"22","Clavibacter.michiganensis..RDA.R._5_TSB","-127.760707869601","-122.4318898289","-121.171464609869","-114.510442058993","-130.932419429224","-124.271396878348","NA","NA"
